,ci_test_results,z_test_results,z_test_p_values,mean_diff
AIFM2,True,False,0.839616070701873,0.33535887290000055
AIFM3,True,False,0.5283367449467192,-0.2008787523229998
AIG1,True,False,0.09119868608058031,1.8766638730000018
AIM1,False,True,5.57105597450428e-07,6.673173541600011
AIM1L,True,False,0.31563573221612506,0.4083834843736005
AIM2,False,True,1.8199823924262474e-26,24.5501265970038
AIMP1,True,False,0.8621055283564306,-0.42936188599999525
AIMP2,True,False,0.9207557608832881,-0.1493153234000033
AIP,False,True,2.6729524661856878e-11,-15.066611250000008
AIPL1,True,False,0.6700616574314305,-0.27862862656134
AIRE,True,False,0.6482617108411396,0.25151831112931994
AJ239318.1,True,False,0.07591608601542993,2.6170955597898398
AJAP1,True,False,0.6768478732712602,0.3994194438454999
AJUBA,True,False,0.12618595276234437,2.8671124677
AK1,False,True,1.2018037336877068e-12,-15.624155643799995
AK2,True,True,0.017873496831402023,-41.045126151999966
AK3,False,True,0.0005301721575957035,-3.937766327999995
AK4,True,True,0.04270120041045631,3.1518119377080005
AK5,False,True,0.000600875718120104,-4.520183288904
AK6,True,True,0.04859832467222245,5.22955163200001
AK7,True,False,0.8087022501502561,0.20472039783480023
AK8,True,False,0.21346429378674026,1.12243660875406
AK9,True,False,0.4633042022666165,1.214918473600001
AKAP1,True,False,0.14119542241352173,2.647593073399996
AKAP10,True,True,0.04889103136711407,-4.130945533599991
AKAP11,False,True,0.0021128881119986203,4.965969593400004
AKAP12,True,False,0.6031846336436779,1.548065779459801
AKAP13,False,True,2.097396149747901e-15,-45.239250388000016
AKAP14,True,False,0.678209263862549,0.269085286804727
AKAP17A,False,True,1.66530608253987e-07,-15.65984946399999
AKAP2,False,True,4.593196897020888e-26,24.30780077739999
AKAP3,True,False,0.5694467186156364,0.8561374552025995
AKAP4,True,False,0.15202695798549082,1.6525679428375089
AKAP5,False,True,5.045033577708322e-07,-7.9173136350831985
AKAP6,False,True,0.013697365104996612,1.6259642389639994
AKAP7,True,True,0.014689350537506118,-1.9317685680400025
AKAP8,True,False,0.18798758049780595,1.519490238599996
AKAP8L,False,True,1.700330040118976e-08,-7.019218097999996
AKAP9,True,False,0.08390300865712114,-3.3690037391999894
AKIP1,True,False,0.7110269179086867,-0.4746668855999978
AKIRIN1,True,True,0.014937242461260306,-4.254683174000007
AKIRIN2,True,True,0.04879751102848106,-3.6248867580000166
AKNA,False,True,4.341862830955572e-36,-95.33638341099999
AKNAD1,True,False,0.316609026486538,0.5522713984230634
AKR1A1,False,True,0.004743326147788143,7.479454308000015
AKR1B1,True,False,0.5815630848706088,10.01563977799998
AKR1B10,False,True,0.00468045429949712,67.19280608757037
AKR1C1,True,True,0.014553675108206713,51.09815256037781
AKR1C2,True,True,0.015848533022974873,69.46399933142759
AKR1C3,True,False,0.5501306677823212,8.950467813470013
AKR1C4,True,False,0.6001320017418018,0.7779492098815801
AKR1D1,True,False,0.2766109625520493,-0.14602415146359993
AKR1E2,True,False,0.5566260425783371,0.2968958239849404
AKR7A2,False,True,2.388757492184603e-05,-6.653583845000007
AKR7A3,True,False,0.7932131036679277,0.2435055723198003
AKT1,False,True,3.665574858213392e-26,-36.57741797999998
AKT1S1,True,True,0.02685229189267191,4.781527253599997
AKT2,False,True,0.00035572403849692415,-35.901020378
AKT3,True,False,0.13836542719742378,-2.9368205552000006
AKTIP,False,True,0.00019656889685525455,-5.861168647000003
AL008723.1,True,False,0.5421822609303035,0.4043223707451401
AL022578.1,True,False,0.5570267260741442,0.6199562372848806
AL023806.1,True,False,0.9260262672892946,0.07427999907999894
AL049794.1,True,False,0.9415298051137121,0.1481488714151995
AL133335.1,True,False,0.8618872443348287,0.14736458146094011
AL135745.1,True,True,0.011024334198543146,3.202093712139998
AL158801.1,True,True,0.008173246086326748,-4.925519811972196
AL354822.1,True,False,0.8499874214648959,-0.3187535815119986
AL356289.1,True,False,0.18620227220049568,1.7150260592150601
AL356585.2,True,False,0.9777555619592312,-0.036975613160801224
AL357140.1,True,False,0.9831312484102316,0.006585669398894101
AL358852.1,True,False,0.06132552205651095,-0.91087695485908
AL365181.2,True,False,0.2014941093214665,1.7284958402427995
AL589743.1,True,False,0.1719443468926085,0.6987780670080008
AL645927.1,True,False,0.13690064453908304,0.6528794934986565
ALAD,False,True,0.0006467529950618788,-2.6540387102000054
ALAS1,True,True,0.009153677032108712,-5.0664913720000015
ALAS2,False,True,0.0016037549147254158,3.3787478756703804
ALB,True,False,0.09734238904376691,6.3330966593423215
ALCAM,False,True,0.0036067047899722552,8.70080861369999
ALDH16A1,False,True,4.51665518402966e-05,3.0538348027999938
ALDH18A1,True,True,0.017218959925290975,3.3825930369999995
ALDH1A1,True,True,0.012362577421159027,99.142130492603
ALDH1A2,True,False,0.5633658875435285,-0.5521974265130254
ALDH1A3,True,False,0.5108069221952392,4.705648123008004
ALDH1B1,True,False,0.12557462743034523,3.2570828374000005
ALDH1L1,True,False,0.22552051521900462,-1.9005901789571682
ALDH1L2,True,False,0.6804082703061265,0.7606840989889996
ALDH2,True,False,0.23445422793501436,-1.9419618521000004
ALDH3A1,False,True,0.005007498063003106,32.25264117683886
ALDH3A2,True,False,0.14988584499876415,6.7578326868000005
ALDH3B1,True,False,0.8000084237963775,0.38213408639799695
ALDH3B2,True,False,0.4684044631984796,-0.8957295142084232
ALDH4A1,True,False,0.13133272037660487,-0.9732325153540007
ALDH5A1,True,False,0.6920715870809377,-0.583274090219998
ALDH6A1,True,False,0.2059614033099998,-1.064176449999998
ALDH7A1,True,False,0.06401124925399154,4.153811380259999
ALDH8A1,True,False,0.5719129585218095,0.9899021107852004
ALDH9A1,True,False,0.6517385177264362,-0.8609223219999933
ALDOA,True,False,0.5133885732646765,-20.572230099999956
ALDOB,True,False,0.35471211956499005,-0.4205952227083399
ALDOC,False,True,3.928516971711536e-06,-9.929530983400007
ALG1,True,False,0.5112959165180602,-1.3278854472
ALG10,True,False,0.3210997509053233,-0.6063694276199989
ALG10B,True,False,0.35829312042365236,1.086557986499999
ALG11,True,False,0.693660246878016,-0.7283630736000006
ALG12,True,True,0.009422935668566314,-2.414545241999999
ALG13,True,False,0.7300739138718896,0.44121741000000725
ALG14,True,False,0.4476907096149889,0.2918257061599998
ALG1L,True,False,0.887111200117354,0.11182310769460013
ALG2,True,False,0.11176747520808823,3.545696464599999
ALG3,True,False,0.5237037808543331,-0.9697754200000048
ALG5,True,False,0.8521949915261577,-0.23427154159999475
ALG6,True,False,0.6462098360033341,-0.7271617884000019
ALG8,True,True,0.00689659900463576,4.908511668999999
ALG9,True,False,0.6738743451397512,0.32167449960000205
ALK,True,False,0.1483959082390964,-0.39253824256760006
ALKBH1,True,False,0.7908918302836343,-0.3520656924599992
ALKBH2,True,True,0.02683993287429468,2.5981703226000015
ALKBH3,False,True,4.5556503264057424e-05,-3.5319855912000016
ALKBH4,True,False,0.6681736057962391,0.44255131519999935
ALKBH5,True,False,0.2662190891331524,-1.5708876759999981
ALKBH6,True,False,0.27020187308505705,-1.0010765733000007
ALKBH7,True,False,0.23294664133076304,-1.7238382419999922
ALKBH8,True,False,0.21823393017782677,1.3227811423999984
ALLC,True,False,0.6408975044945068,0.3467376201977763
ALMS1,True,False,0.9288357938082211,-0.03299066319999966
ALOX12,True,False,0.421891206319132,-0.6040554927499997
ALOX12B,True,False,0.07481196180065941,-3.11221920545956
ALOX15,True,False,0.1264002251785565,4.525563051536001
ALOX15B,True,False,0.08627278430864867,2.290380391607
ALOX5,False,True,3.895183645738308e-17,40.47975226908
ALOX5AP,False,True,3.1929366615831505e-13,-119.45726868899999
ALOXE3,True,False,0.7161592922708861,0.30299914908964465
ALPI,True,False,0.19025543315738536,1.651736021958334
ALPK1,False,True,0.01864244670088962,2.99598601986
ALPK2,True,False,0.8157537911586756,-0.2380948931056981
ALPK3,True,False,0.11786740886048445,2.5821609853123997
ALPL,True,False,0.8002692812337346,-0.85772831728546
ALPP,True,False,0.5966946216099969,-1.0837344599908318
ALPPL2,True,False,0.9767932604776566,0.036121856321797985
ALS2,True,False,0.8335442238331747,0.325191503200001
ALS2CL,True,False,0.9582956787370006,0.05450473932559996
ALS2CR11,True,False,0.5856904658658868,0.7037189774118198
ALS2CR12,True,False,0.5332823638703961,-0.907367330204
ALX1,True,False,0.9142663056775037,0.0939384295270298
ALX3,True,False,0.24589797297129212,1.354170429177962
ALX4,True,False,0.3056657224577555,1.542244963176806
ALYREF,True,False,0.4776685749486069,-2.1173390879999943
AMACR,True,False,0.4637302564491471,0.85977657848
AMBN,True,False,0.3310968295618003,-1.4458807746092939
AMBP,True,False,0.2551741291146554,2.5712115691512536
AMBRA1,True,False,0.5748539434193951,-0.7540190809999991
AMD1,True,True,0.035646927475136495,7.378272285999984
AMDHD1,False,True,0.005340350437861146,-2.5355029788600003
AMDHD2,True,False,0.08168255259665778,-2.6903780381999987
AMELX,True,False,0.6636317472742808,-0.08022389108182015
AMELY,True,False,0.34020345465732027,1.293060430871946
AMER1,True,False,0.31289956834180643,-0.8426657145800007
AMER2,True,False,0.38113923395325766,1.379534870307799
AMER3,True,False,0.31874891588650667,1.34392268401713
AMFR,False,True,2.2286056188969674e-12,64.22578732000001
AMH,True,False,0.2441331098230911,2.3697029459542005
AMHR2,True,False,0.9466750266267898,0.11748486221571897
AMICA1,False,True,0.0023511645254354154,-29.445981276179978
AMIGO1,False,True,7.300752930379488e-06,-2.5959504642519997
AMIGO2,True,False,0.8643772967382521,0.46986537460000477
AMIGO3,True,False,0.4621125334990831,-1.1940611846623987
AMMECR1,True,False,0.40962316158958023,-0.9734550032000016
AMMECR1L,True,False,0.3608668686093537,-0.4188064344000004
AMN,True,True,0.04104125971205581,3.3804174017056
AMN1,True,False,0.23826351741975482,1.4252291690400014
AMOT,True,False,0.206579169099687,-1.2883370837673986
AMOTL1,True,False,0.3052168775097829,0.6254927210639991
AMOTL2,True,False,0.3802803236492993,1.6944862328459998
AMPD1,True,False,0.30908367049880303,-1.1029650782497225
AMPD2,True,True,0.019260804712977333,-8.933678895
AMPD3,False,True,1.4709559010418328e-07,6.4204096027599995
AMPH,True,False,0.37285184349970524,1.6581161983545996
AMT,True,False,0.05726355509979987,-3.0299472095399995
AMTN,True,False,0.15936931380999397,-2.423317499845354
AMY1A,True,False,0.2796982173680004,-1.1742661250694997
AMY1B,True,False,0.46588113792173214,1.2303285214746198
AMY1C,True,False,0.5395619551230493,-0.8607769089671633
AMY2A,True,False,0.542458642451758,-0.41239756730767063
AMY2B,True,False,0.27913709663959907,-1.2809954936399954
AMZ1,True,False,0.914003067598488,-0.09511067682820018
AMZ2,False,True,4.5298381895495744e-08,-14.227311260000022
